group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,72499553.0,ns,488400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,76146785.0,ns,495000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,70627936.0,ns,501600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,77322692.0,ns,508200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,75335435.0,ns,514800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,81431158.0,ns,521400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,79349040.0,ns,528000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,74723727.0,ns,534600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,79765869.0,ns,541200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,74676665.0,ns,547800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,82347582.0,ns,554400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,85637221.0,ns,561000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,84529981.0,ns,567600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,77684913.0,ns,574200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,77425004.0,ns,580800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,82613353.0,ns,587400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,86709663.0,ns,594000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,87477509.0,ns,600600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,82039300.0,ns,607200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,84472077.0,ns,613800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,83244102.0,ns,620400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,93524109.0,ns,627000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,97087129.0,ns,633600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,94570778.0,ns,640200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,93371429.0,ns,646800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,92127588.0,ns,653400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,91932706.0,ns,660000
